20x5,"[[1319.         1336.           36.76562657   37.52545336]
 [1371.         1368.           37.09399986   36.77812584]
 [1163.         1163.           37.51278682   37.82075515]
 [1377.         1377.           37.13602199   34.40134166]
 [1288.         1304.           36.62196657   34.1192636 ]
 [1251.         1257.           37.6507934    34.17183745]
 [1293.         1298.           34.24249901   34.24951997]
 [1286.         1282.           34.22315944   34.13222664]
 [1334.         1341.           34.72856526   34.39126469]
 [1194.         1199.           34.51452663   34.11856112]]"
20x10,"[[1735.         1725.           55.92231022   62.18453305]
 [1764.         1801.           53.35711803   63.02629955]
 [1647.         1644.           53.34754198   62.36951197]
 [1547.         1504.           57.27345666   62.30308081]
 [1557.         1574.           54.64619018   62.247875  ]
 [1490.         1497.           62.50882403   62.60261965]
 [1581.         1604.           57.12104557   54.13902079]
 [1650.         1657.           54.32447524   54.15221039]
 [1676.         1662.           54.10917548   54.13632698]
 [1760.         1760.           54.33340287   54.91713536]]"
20x20,"[[2457.         2438.           93.80359733   94.41478055]
 [2242.         2255.          113.30396142  107.65425874]
 [2462.         2465.          111.13943101  113.89132478]
 [2394.         2400.          113.68548799   92.63951241]
 [2424.         2462.          113.83390517  114.6607158 ]
 [2404.         2386.           92.32259991  109.3073002 ]
 [2434.         2414.           93.24736751   92.70366223]
 [2352.         2376.           93.23662461  106.28751214]
 [2416.         2439.          104.59771201  114.31459307]
 [2409.         2425.          113.46545143   93.87878708]]"
50x5,"[[2794.         2806.           81.1941236    81.10542017]
 [2943.         2925.           82.64222822   81.14237553]
 [2805.         2775.           70.93309537   72.75849361]
 [2918.         2906.           71.46106662   71.46460558]
 [2955.         2931.           71.38266717   76.70582689]
 [2959.         2952.           81.22928048   82.20476381]
 [2834.         2806.           72.78219181   71.66352511]
 [2861.         2856.           71.66252552   71.45776941]
 [2662.         2676.           81.87161507   82.43470345]
 [2902.         2891.           81.77120617   72.08311701]]"
50x10,"[[3434.         3415.          141.02868502  120.03846011]
 [3266.         3263.          124.44869563  119.6875176 ]
 [3313.         3313.          130.21012284  128.95116469]
 [3472.         3429.          142.31187529  142.30281448]
 [3423.         3446.          135.91589785  145.33131032]
 [3400.         3381.          131.64615821  140.00143758]
 [3445.         3457.          119.6373814   119.33027147]
 [3393.         3383.          121.99963505  119.52024721]
 [3274.         3327.          136.40657054  123.56235579]
 [3423.         3473.          143.03144927  146.02735264]]"
50x20,"[[4408.         4425.          270.6113972   223.0916393 ]
 [4236.         4219.          271.17537346  265.43818001]
 [4249.         4287.          214.78305526  226.72619699]
 [4311.         4259.          270.28479543  215.81554378]
 [4225.         4230.          269.31939604  272.67777677]
 [4259.         4226.          256.81110396  250.22948624]
 [4328.         4324.          216.88920953  216.46697548]
 [4311.         4309.          216.41687433  218.16725411]
 [4357.         4347.          273.15472089  216.51992807]
 [4414.         4395.          217.60277451  219.42931347]]"
100x5,"[[5591.         5626.          157.29746145  137.07748296]
 [5454.         5453.          135.75449456  153.35125683]
 [5344.         5361.          134.68725362  156.10808442]
 [5158.         5194.          156.55006896  156.99558285]
 [5451.         5442.          157.56397275  136.42243347]
 [5303.         5304.          156.26302413  154.13179987]
 [5377.         5372.          133.83304597  132.91489207]
 [5231.         5268.          152.18213794  158.85425436]
 [5649.         5625.          145.74390214  143.49556543]
 [5538.         5510.          136.73438019  147.07030565]]"
100x10,"[[6332.         6314.          250.62380798  251.28390418]
 [5976.         5944.          245.66396724  251.1185636 ]
 [6143.         6165.          262.28521844  283.95460716]
 [6416.         6419.          280.11376946  283.26693413]
 [6099.         6103.          285.91329605  284.2959377 ]
 [5826.         5831.          277.89581262  249.4612993 ]
 [6090.         6037.          242.26201422  235.70908304]
 [6156.         6183.          274.61711736  266.18127987]
 [6411.         6405.          262.70921578  275.8587868 ]
 [6257.         6295.          263.80612369  240.73766488]]"
100x20,"[[7249.         7267.          470.9493451   477.5217777 ]
 [7209.         7203.          453.98501861  444.50648821]
 [7273.         7251.          443.56441472  539.63658624]
 [7267.         7186.          425.32492665  479.97770333]
 [7314.         7336.          458.80999868  425.0023644 ]
 [7325.         7313.          459.6862381   538.40567156]
 [7305.         7274.          491.53249241  537.00190192]
 [7466.         7460.          489.22239197  452.57155235]
 [7249.         7296.          516.6441351   444.83516313]
 [7410.         7360.          434.05350328  428.59629816]]"
200x10,"[[11546.         11571.           559.67963796   459.28763855]
 [11540.         11510.           534.42380946   478.29815008]
 [11713.         11729.           523.21343414   475.84523704]
 [11514.         11558.           542.3517314    473.63322496]
 [11472.         11500.           523.92969585   561.503161  ]
 [11233.         11246.           547.89004897   554.22699903]
 [11667.         11617.           506.37496729   537.66935293]
 [11646.         11638.           475.34552591   507.41970893]
 [11370.         11454.           473.53033873   532.76207209]
 [11568.         11603.           482.03334294   489.30876102]]"
200x20,"[[12827.         12752.           907.00131265   975.33597529]
 [13061.         13031.           946.2901456   1014.52199427]
 [12912.         12970.          1007.68835357   972.83842994]
 [13029.         12904.           854.01130894  1015.6405829 ]
 [12903.         12975.           880.92301907  1006.88306292]
 [12820.         12764.           908.95584804   959.19847461]
 [13080.         13093.           908.8097213    958.15349933]
 [12934.         12926.           994.44702264   983.87941338]
 [12925.         12955.           891.40532485  1015.46501869]
 [12993.         13003.           979.33109132   881.26625129]]"
500x20,"[[29263.         29208.          2024.43449561  1872.62333409]
 [29492.         29480.          1918.68684804  1978.88020663]
 [29350.         29430.          1763.09455711  1875.72395731]
 [29425.         29451.          1895.19797597  1893.086852  ]
 [29218.         29252.          1710.42067375  1725.42511079]
 [29553.         29510.          1810.11875044  1850.39883616]
 [29107.         29068.          1541.35443788  1485.79283172]
 [29436.         29370.          1500.84613972  1564.6053781 ]
 [29102.         29102.          1544.33528037  1612.53116028]
 [29445.         29427.          1536.71337727  1513.5536228 ]]"
